Latitude	Longitude	Deaths
27.995	104.138	22
-7.961	110.446	5749
33.5	48.78	70
26.774	55.858	13
29.695	115.689	16
34.451	73.649	76213
-19.987	-69.197	11
2.085	97.108	1303
30.754	56.816	612
3.316	95.854	1001
-3.609	135.404	32
-8.152	124.868	34
37.226	138.779	40
39.766	43.979	18
36.29	51.61	35
39.93	40.812	10
35.142	-3.997	628
34.774	73.216	24
-3.615	135.538	37
28.995	58.311	31000
42.905	80.515	11
25.975	101.29	16
36.964	3.634	2287
39.007	40.464	177
39.61	77.23	261
18.77	-104.104	29
35.414	74.515	19
35.517	74.654	11
41.789	14.872	30
-1.196	121.333	48
35.626	49.047	261
39.959	69.417	50
36.062	69.315	1000
6.033	124.249	15
36.502	70.482	166
38.573	31.271	44
-16.265	-73.641	77
13.671	-88.938	315
23.388	70.326	20005
13.049	-88.66	844
39.566	54.799	11
40.245	49.946	31
-4.721	102.087	103
-1.105	123.573	46
35.321	-1.281	24
40.758	31.161	894
16.059	-96.931	35
23.834	120.813	2297
38.119	23.605	143
40.76	29.97	17118
18.386	-97.436	20
29.501	51.88	26
30.512	79.403	100
34.259	69.364	70
4.461	-75.724	1185
-2.071	124.891	41
38.65	-28.626	10
36.878	35.307	145
37.106	70.11	4700
-17.731	-65.431	105
32.457	59.976	12
37.075	70.089	2323
41.083	114.5	70
22.212	92.702	23
-3.776	119.727	20
43.084	12.812	14
-26.857	26.619	15
10.598	-63.486	81
23.083	80.041	56
33.825	59.809	1728
34.872	71.62	15
38.075	48.05	1100
29.976	68.208	60
37.661	57.291	88
39.474	76.998	12
-14.993	-75.675	14
40.774	109.661	23
-1.036	-78.737	27
39.993	76.696	24
-0.891	136.952	54
27.291	100.276	322
28.826	34.799	11
26.003	102.227	81
19.055	-104.205	49
-2.045	101.436	84
38.063	30.134	95
36.427	103.123	14
21.966	99.196	11
38.401	22.283	26
52.629	142.827	1989
4.104	-76.622	45
34.583	135.018	5502
13.525	121.067	81
43.773	147.321	11
35.52	-0.106	171
2.917	-76.057	650
36.901	67.163	160
-4.967	104.302	207
34.213	-118.537	60
-5.889	146.02	60
18.066	76.451	11000
42.851	139.197	23
30.149	50.814	24
-8.48	121.896	1000
7.075	-76.862	11
29.778	31.144	545
42.142	73.575	75
33.377	71.317	36
39.71	39.605	653
13.887	44.068	11
30.78	78.774	2000
14.646	-90.986	25
36.52	44.066	20
-15.679	-71.574	92
-8.099	124.681	28
42.453	43.673	270
9.685	-83.073	87
-5.982	-77.094	53
35.993	70.423	848
37.3	15.438	19
28.251	55.462	22
35.121	70.486	11
-26.39	27.349	10
15.679	121.172	2412
36.415	70.789	43
36.636	49.799	20
36.957	49.409	40000
45.841	26.668	14
-6.016	-77.229	200
5.121	32.145	31
35.986	100.245	126
28.925	66.331	11
-32.967	151.619	12
36.788	2.448	30
39.893	113.884	29
37.036	-121.883	62
-4.511	139.022	120
30.167	50.921	114
29.987	99.195	11
38.465	68.694	274
40.987	44.185	25000
22.789	99.611	738
26.755	86.616	998
-8.247	124.155	125
0.083	-77.785	5000
23.901	121.574	15
13.827	-89.118	1100
37.014	22.176	20
37.993	37.806	15
-13.41	-71.785	16
40.301	69.823	29
18.19	-102.533	9500
-4.13	136.049	10
39.431	75.224	71
25.926	102.871	23
-33.132	-71.708	180
24.641	92.891	20
35.789	137.488	29
32.386	131.945	20
36.372	70.738	26
11.866	-13.529	443
-5.392	151.868	10
35.206	115.213	34
40.33	42.187	1342
18.231	120.86	16
-4.843	-78.103	10
2.461	-76.686	350
35.953	52.264	30
41.959	21.54	12
-8.405	123.08	13
36.148	69.011	500
14.701	44.379	2800
13.313	-89.339	43
31.907	99.931	10
17.25	-93.21	10
42.158	142.361	110
8.117	-72.527	15
35.693	73.594	220
30.013	57.794	3000
37.141	45.23	10
-13.166	-74.522	10
29.913	57.715	1400
38.222	22.934	22
41.051	14.601	12
30.927	101.098	150
-4.576	139.232	305
34.587	50.652	26
40.914	15.366	4689
18.211	-98.24	300
36.199	1.374	5000
32.913	75.633	15
29.598	81.092	200
38.727	-27.75	69
-8.39	115.889	27
1.555	-79.276	600
33.974	59.847	20
4.805	-76.217	72
33.978	59.832	171
-7.656	108.252	30
-1.679	136.04	15
31.452	119.241	42
-8.207	115.949	22
42.096	19.209	130
-16.39	-72.658	18
33.918	59.555	129
32.112	49.68	76
37.684	48.996	26
33.205	57.478	20000
14.843	-91.022	17
40.739	23.229	50
38.19	142.028	28
34.809	139.259	25
30.94	56.53	584
-31.03	-67.77	70
-9.965	160.731	18
-9.828	160.323	34
31.845	50.711	366
38.56	40.02	30
27.584	56.378	167
45.777	26.703	1641
39.12	44.03	5000
33.846	59.208	17
-4.517	139.918	133
46.302	13.197	11
6.292	124.09	1200
39.57	117.98	242769
-8.17	114.888	573
-4.603	140.091	6000
46.356	13.275	978
0.78	-79.8	10
36.61	67.79	49
15.324	-89.101	23000
38.474	40.723	2311
40.64	122.58	300
32.46	78.43	47
35.1	72.9	5300
-12.27	-77.79	78
7.75	-77.69	11
28.24	104.01	20000
34.5	138.7	30
-12.3	-76.35	10
18.27	-96.6	600
10.679	-84.759	26
13.4	122.8	15
18.48	-103	56
12.4	-86.1	10000
36	73.4	100
36.2	69.7	11
28.415	52.765	5374
-32.5	-71.2	83
38.8	40.5	1000
37.6	29.8	100
34.412	-118.4	65
42.5	11.8	24
-4	-80.7	82
-4.907	145.471	15
37.8	55.9	220
-9.2	-78.8	66794
15.78	121.71	15
39.2	29.5	1086
21.7	73	26
-9.9	-75.6	12
24.1	102.5	10000
44.9	17.3	14
-11.7	-75.1	150
-33.268	19.386	12
22.317	111.8	3000
38.2	119.4	10
11.875	41.208	40
38.6	28.4	53
36.017	-10.95	25
-3.1	118.9	64
37.14	57.899	50
15.573	-92.536	20
41.8	32.3	24
34	58.2	700
34.158	59.083	10488
16.519	-97.739	18
16.5	122.2	270
-5.6	-77.2	15
40.8	143.2	52
39.253	44.203	38
39.368	24.957	20
37.9	13.1	216
17.412	73.885	180
41.5	20.5	18
10.559	-67.33	300
6.747	-73.03	20
39.5	40.4	97
40.7	30.8	86
35.5	-0.1	10
5.5	97.3	14
-3.7	119.3	58
-9.2	113.1	54
2.85	-74.8	98
-10.748	-78.638	110
39.2	41.6	2394
28.7	78.9	15
38.9	41.3	12
38.5	41.3	14
29.554	80.854	80
41.2	69.1	10
0.622	29.863	157
39.1	41.6	10
13.5	-89.3	125
37.7	21.8	32
-32.4	-71.2	400
39.4	24	38
37.684	46.998	20
-2.4	126.1	71
40.3	28.2	19
18.136	-100.605	78
38.65	139.2	26
61.017	-147.648	15
23.2	120.6	107
33.9	74.8	80
42.1	21.3	1070
32.6	21	300
24.5	122.1	15
35.63	49.87	12225
41.4	15.5	16
5.2	-76.4	47
33.32	58.845	20
40.9	19.5	15
4.49	-75.51	23
36	136.7	10
27.861	54.528	60
10.466	39.717	160
38	15.3	15
-3.6	29	24
-1.5	-79	11
-38.143	-73.407	2000
27.814	54.497	420
30.45	-9.62	13100
36	4.1	47
-15	-75	63
-15.75	-72.75	63
39.1	41.6	18
18.3	-94.4	25
44.712	-111.215	28
22.18	121.13	16
36	49	16
34.29	47.867	132
1.5	-79.5	111
-16.5	-72	28
34.388	47.748	1200
45.5	99.5	30
16.5	-99.1	65
36.277	52.778	1100
40.7	30.9	500
36.4	28.55	18
33.4	52.5	16
23.9	121.6	11
36.2	8.9	13
27.407	54.462	410
23.278	70.107	156
22.2	95.7	38
36.664	25.957	53
35.1	67.5	100
35.5	35.5	148
32.2	29.6	22
10	-84.5	10
30	101.8	39
8.1	123.2	400
30.5	67	12
36.274	1.594	1243
13	123.9	13
36	66	2000
39.3	22.2	31
39.8	22.1	25
34.741	32.335	40
38.3	20.8	476
41.4	26.3	37
40	27.5	1070
35.385	54.979	970
27.761	54.751	13
10.3	-83.5	29
36.5	35.5	20
30.5	91.5	54
35	-119.017	12
39.8	39.5	94
42.15	143.85	33
39.9	41.7	103
22.9	121.5	17
23.8	121.7	68
40.8	33.4	50
13	-87.8	1100
28.5	96.5	1530
9.71	-69.819	100
7.79	-72.61	300
-6	113	16
-13.5	-72	83
40	40	20
27.255	53.029	30
39	40.5	320
-1.237	-78.305	6000
39.2	70.8	3500
-38	-73.5	57
42	84	21
38.084	58.364	110000
36.5	136	5131
26.4	99.7	110
29.5	100.5	800
10.714	122.235	72
-10.5	-75	233
33.604	58.642	500
33	135.6	1362
23.1	120.3	58
-8.5	-77.5	800
39.3	55.4	400
39.3	41.2	840
38.2	31.8	12
35.75	5	264
24.5	63	300
39.5	119	17
38.5	43.3	300
35.2	52.1	20
37.4	35.8	300
34.7	137.2	2306
34	137.1	1223
39.509	26.587	30
38.9	29.3	21
36.8	54.5	20
41.4	32.7	2381
-31.5	-68.5	8000
40	40	550
41	33.7	4020
35.3	133.9	1400
-9.5	110	213
40.6	30.5	285
-30.75	-72	11
-14.2	-71.5	75
44.3	17	19
40.8	30.5	285
40.9	36.5	1000
40.3	34.6	17
39.2	28.2	16
41.7	20.4	43
-15	-76	30
-0.75	-81.5	200
23.1	100.3	90
23.3	120.3	319
39.7	39.4	15
31.7	102.3	15
39.5	43.3	430
47	127.2	132
33.527	58.776	730
16.4	43.5	1200
45.8	26.8	1000
-10.5	-77	179
41.7	43.8	16
23.9	102.3	181
38.4	35.5	37
39.77	39.533	32700
39.7	40.4	13
39.1	26.8	41
-12.5	-72	37
5.568	-0.625	22
40.1	139.5	27
-36.25	-72.25	30000
39.4	33.8	224
-10.637	-76.562	15
35.4	115.1	390
18.523	-95.878	34
13.2	-88.7	400
3.5	97.5	17
22.3	120.8	10
26.6	103	30
34.2	105.7	115
33.734	60.405	12
1.1	-77.6	250
28.7	103.6	100
24.6	120.8	2746
29.5	66.8	60000
39.3	40.6	540
24.3	120.8	3276
36.586	53.65	690
35.982	52.953	60
37.919	40.211	20
37.919	40.211	100
26.773	86.762	10600
42	14.2	10
29.5	102.5	200
31.9	103.4	9300
36.759	27.299	181
33.62	-117.97	120
39.7	96.7	275
40.5	23.9	161
19.623	-103.919	400
36.6	53.4	1070
30.1	101.8	200
19.706	-75.691	14
36.1	139.2	16
47.1	89.8	10000
39.2	46	2890
13.2	-85.7	2450
-39.772	176.025	261
40.6	20.8	90
-24.7	-66.3	39
18.2	96.4	36
40.3	19.6	25
35	139	259
40.5	19.5	35
43.89	13.483	18
38.4	68.5	175
