"Search Parameters"	"Location Name"	"Latitude"	"Longitude"	"Deaths"
"[""1900 <= Year >= 2006"",""Deaths >= 10""]"				
	"CHINA:  YANJIN"	27.995	104.138	22
	"INDONESIA:   JAVA:  BANTUL, YOGYAKARTA"	-7.961	110.446	5749
	"IRAN:  WESTERN:  BORUJERD, DORUD"	33.5	48.78	70
	"IRAN:  QESHM, ZIRANG"	26.774	55.858	13
	"CHINA:  JIANGXI:  JIUJIANG, RUICHANG"	29.695	115.689	16
	"PAKISTAN:  MUZAFFARABAD, URI, ANANTNAG, BARAMULA"	34.451	73.649	76213
	"CHILE:  TARAPACA"	-19.987	-69.197	11
	"INDONESIA:  SUMATERA:  SW"	2.085	97.108	1303
	"IRAN:  KERMAN PROVINCE:  ZARAND"	30.754	56.816	612
	"INDONESIA:  SUMATRA:  ACEH:  OFF WEST COAST"	3.316	95.854	1001
	"INDONESIA:  NABIRE"	-3.609	135.404	32
	"INDONESIA:  KEPULAUAN ALOR"	-8.152	124.868	34
	"JAPAN:  HONSHU:  NIIGATA PREFECTURE"	37.226	138.779	40
	"TURKEY:  DOGUBEYAZIT"	39.766	43.979	18
	"IRAN:  MAZANDARAN, QAZVIN, TEHRAN"	36.29	51.61	35
	"TURKEY:  ERZURUM"	39.93	40.812	10
	"MOROCCO:  AL HOCEIMA, IMZOURENE, BENI ABDALLAH"	35.142	-3.997	628
	"PAKISTAN:  BALAKOT, BATGRAM, MANSEHRA"	34.774	73.216	24
	"INDONESIA:  NABIRE"	-3.615	135.538	37
	"IRAN:  SOUTHEASTERN:  BAM, BARAVAT"	28.995	58.311	31000
	"CHINA:  XINJIANG:  ZHAOSU"	42.905	80.515	11
	"CHINA:  YUNNAN PROVINCE"	25.975	101.29	16
	"ALGERIA:  ALGIERS, BOUMERDES, REGHIA, THENIA"	36.964	3.634	2287
	"TURKEY:  BINGOL"	39.007	40.464	177
	"CHINA:  S. XINJIANG:  BACHU"	39.61	77.23	261
	"MEXICO:  VILLA DE ALVAREZ, COLIMA, TECOMAN, JALISCO"	18.77	-104.104	29
	"PAKISTAN:  DASHKIN, DOIAN, MUSHKIN"	35.414	74.515	19
	"PAKISTAN:  GILGIT"	35.517	74.654	11
	"ITALY:  SAN GUILIANO DI PUGLIA, CAMPOBASSO"	41.789	14.872	30
	"INDONESIA:   SULAWESI:  TOJO"	-1.196	121.333	48
	"IRAN:  AB GARM-ABHAR-AVAJ-SHIRIN SU"	35.626	49.047	261
	"TAJIKISTAN; AFGHANISTAN: DO ABI-NAHRIN"	39.959	69.417	50
	"AFGHANISTAN:  HINDU KUSH:  BAGHLAN, NAHRIN"	36.062	69.315	1000
	"PHILIPPINES:  MINDANAO"	6.033	124.249	15
	"AFGHANISTAN:  HINDU KUSH:  SAMANGHAN, KABUL, RUSTAQ"	36.502	70.482	166
	"TURKEY:  AFYON"	38.573	31.271	44
